Quantity	RefDes	Value	Name / Size	Mouser Part #
6	C1, C15, C17, C21, C38, C39	18p	C-USC0603	81-GRM185C1H180JA01J 
5	C2, C8, C9, C10, C24	47uF	RCL_CPOL-USE2.5-6 (RCL_CPOL-US)	710-860010673012
8	C3, C6, C11, C12, C13, C18, C30, C40	10u	CPOL-USA	710-860130673001
29	C4, C5, C7, C14, C16, C20, C23, C25, C27, C28, C29, C32, C34, C35, C36, C37, C41, C42, C43, C44, C45, C46, C52, C53, C55, C60, C61, C62, C63	100n	C-USC0603	81-GRM188R71E104JA1J 
2	C19, C54	1u	C-USC0603	81-GRM18R61A105KA61J 
2	C22, C33	220p	C-USC0603	81-GRM185C1H221GA01D 
2	C26, C31	2.2u	C-USC0805	810-C2012X5R1A225K-2 
9	C47, C48, C49, C50, C51, C56, C57, C58, C59	1n	C-USC0603	81-GRM1885C1H102FA1J 
1	D1	5mm Round	LED-5R_Red	
4	H1, H2, H3, H4	Black Banana	Left Input, Right Input, Left Output, Right Output	530-108-0903-1
9	H5, H6, H7, H8, H10, H11, H12, H13, H14	Blue Banana	Position CV, Size CV, Density CV, Texture CV, Dry/Wet CV, Spread CV, Feedback CV, Reverb CV, V/OCT	530-108-0910-1 
2	H9, H15	Red Banana	Trig, Freeze	530-108-0902-1 
2	IC1, IC7	74HC595D	74HC595D	595-CD74HC595M 
6	IC2, IC4, U1, U2, U3, U4	TL072D	TL072D	595-TL072CD 
1	IC3	WM8731	WM8731	238-WM8731SEDS/V 
1	IC5	STM32F405RGT6	STM32F20X	511-STM32F405RGT6 
2	IC6, IC14	LM1117-3.3	REG1117	926-LM1117MPX3.3NOPB 
5	IC8, IC10, IC11, IC12, IC13	MCP6002	SOIC08	579-MCP6002-I/SN 
1	IC9	LM4040B10	LM4041B12DBZ	595-LM4040C10IDBZR 
1	J1		Freeze Switch 	C&K Pushbutton: 611-8125-222,  Dress Nut: 611-702501201, Red switch Cap: 611-801803000
1	J2		MTA04-100   or similar (A-806 on Tayda) 	571-6404544
1	JP16	M05X2MINIJTAG	M05X2MINIJTAG	649-221111-00010T4LF 
4	LED1, LED2, LED3, LED4	WP59EGW	LED-BICOLOR-THROUGHHOLE	WP59EGW
1	Q1	12.288MHz	TXC 7A crystal	717-7A-12.288MAAJ-T 
1	Q2	8MHz	TXC 7A crystal	717-7A-8.000MAAJ-T 
2	Q3, Q4	MMBT3904	MMBT3904LT1-NPN-SOT23-BEC	863-MMBT3904LT1G 
2	R6, R12	1.0k	R-US_R0603	603-RC0603FR-071KL 
4	R7, R9, R13, R15	39k	R-US_R0603	603-RC0603FR-0739KL 
6	R8, R14, R18, R19, R32, R33	5.6k	R-US_R0603	603-RC0603FR-075K6L 
3	R10, R11, R16	4.7r	R-US_R01206	603-RC1206JR-074R7L
2	R17, R34	22k	R-US_R0603	603-RC0603FR-0722KL
10	R20, R21, R22, R23, R27, R28, R29, R30, R77, R78	68r	R-US_R0603	603-RC0603FR-0768RL
2	R24, R35	3.3k	R-US_R0603	603-RC0603FR-073K3L
2	R25, R26	2.2k	R-US_R0603	603-RC0603FR-072K2L
4	R31, R36, R37, R38	10k	R-US_R0603	603-RC0603FR-0710KL
27	R39, R40, R41, R42, R43, R44, R46, R47, R48, R51, R52, R53, R57, R61, R64, R67, R68, R71, R76, R79, R80, R81, R82, R83, R84, R85, R86	100k	R-US_R0603	603-RC0603FR-07100KL
1	R45	220r	R-US_R0603	603-RC0603FR-07220RL
1	R49	47k	R-US_R0603	603-RC0603FR-0747KL
1	R50	180k	R-US_R0603	603-RC0603FR-07180KL
5	R54, R62, R65, R73, R75	66.5k	R-US_R0603	RC0603FR-0766K5L
8	R55, R56, R60, R63, R66, R69, R72, R74	200k	R-US_R0603	603-RC0603FR-07200KL
3	R58, R59, R70	33k	R-US_R0603	603-RC0603FR-0733KL
2	SW1, SW2		TAC_SWITCHPTH	612-TL1105SP-250 
2	SW1, SW2		TACT SWITCH CAP	612-1RWHT
2	VR1, VR2	50kA	Right Level, Left Level	THONK or MODULAR ADDICT
8	VR3, VR4, VR5, VR6, VR11, VR12, VR13, VR14,	100k	Position AV, Size AV, Density AV, Texture AV, Dry/Wet AV, Spread AV, Feedback AV, Reverb AV	THONK or MODULAR ADDICT
9	R1, R2, R3, R4, R5, R7, R8, R9, R10	10kB	Position, Size, Density, Texture, Pitch, Dry/Wet, Spread, Feedback, Reverb	THONK or MODULAR ADDICT
